"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"BANCO POP.ESPANOL";"ES0113790531";"BPE";"NYSE Euronext Lisbon";"EUR";"1.90";"1.90";"1.90";"1.90";"07/09/2012 14:21";"BST";"985";"1871.50"
"BANCO POPOLARE";"IT0004231566";"BPm";"NYSE Arca Europe";"EUR";"0.9175";"0.9175";"0.9175";"0.9175";"20/07/2012 10:10";"CET";"4798";"4402.165"
"BANCO POPULAR";"ES0113790531";"POPe";"NYSE Arca Europe";"EUR";"2.91";"2.91";"2.91";"2.91";"08/03/2012 17:10";"CET";"1195";"3477.45"
"BANCO SABADELL";"ES0113860A34";"SABe";"NYSE Arca Europe";"EUR";"2.30";"2.30";"2.30";"2.30";"21/03/2012 15:16";"CET";"1203";"2766.90"
"BANCO SANTANDER";"ES0113900J37";"SANT";"NYSE Euronext Lisbon";"EUR";"6.02";"6.16";"6.02";"6.08";"07/09/2012 22:35";"BST";"152806";"930662.09"
"BANCO SANTANDER";"ES0113900J37";"SANTA";"Traded not listed Amsterdam";"EUR";"5.85";"5.85";"5.85";"5.85";"07/09/2012 11:30";"CET";"23";"134.55"
"BANCO SANTANDER";"ES0113900J37";"SANe";"NYSE Arca Europe";"EUR";"6.122";"6.122";"6.057";"6.057";"07/09/2012 17:26";"CET";"52991";"2519991.681"
"BANCO VALENCIA";"ES0113980F34";"BVAe";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"BANESTO";"ES0113440038";"BTOe";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"BANIF-SGPS";"PTBNF0AM0005";"BNF";"NYSE Euronext Lisbon";"EUR";"0.16";"0.19";"0.16";"0.18";"07/09/2012 22:39";"BST";"1450003";"253184.27"
"BANIMMO A (D)";"BE0003870871";"BANI";"NYSE Euronext Brussels";"EUR";"8.96";"9.15";"8.96";"9.15";"07/09/2012 16:19";"CET";"3134";"28547.25"
"BANIMMO STRIP (D)";"BE0005614855";"BANIS";"NYSE Euronext Brussels";"EUR";"0.01";"0.01";"0.01";"0.01";"24/08/2012 15:00";"CET";"100";"1.00"
"BANK OF AMERICA";"US0605051046";"BACn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"BANK OF GEORGIA HG";"GB00B759CR16";"BGEOl";"NYSE Arca Europe";"GBP";"-";"-";"-";"-";"-";"-";"-";"-"
"BANK OF IRELAND";"IE0030606259";"BIRi";"NYSE Arca Europe";"EUR";"0.096";"0.096";"0.096";"0.096";"07/09/2012 09:37";"CET";"111380";"20292.48"
"BANKERS INV TRUST";"GB0000767003";"BNKRl";"NYSE Arca Europe";"GBP";"411.10";"411.10";"411.10";"411.10";"30/07/2012 11:34";"CET";"350";"143885.00"
"BANKIA";"ES0113307039";"BKIAe";"NYSE Arca Europe";"EUR";"2.07";"2.07";"2.07";"2.07";"11/05/2012 09:11";"CET";"315";"652.05"
"BANKINTER";"ES0113679I37";"BKTe";"NYSE Arca Europe";"EUR";"3.92";"3.92";"3.92";"3.92";"09/08/2011 15:59";"CET";"279";"-"
"BANQUE TARNEAUD";"FR0000065526";"TRNO";"NYSE Euronext Paris";"EUR";"86.00";"86.00";"86.00";"86.00";"07/09/2012 11:30";"CET";"39";"3354.00"
"BARBARA BUI";"FR0000062788";"BUI";"NYSE Euronext Paris";"EUR";"41.49";"42.00";"40.70";"42.00";"07/09/2012 17:28";"CET";"196";"8169.24"
"BARCLAYS";"GB0031348658";"BARCl";"NYSE Arca Europe";"GBP";"199.00";"206.70";"199.00";"206.50";"07/09/2012 17:28";"CET";"19689";"10364020.50"
"BARCO";"BE0003790079";"BAR";"NYSE Euronext Brussels";"EUR";"51.20";"51.45";"50.70";"51.45";"07/09/2012 17:35";"CET";"23970";"1227463.78"
"BARCO STRIP (D)";"BE0005583548";"BARS";"NYSE Euronext Brussels";"EUR";"0.05";"0.05";"0.05";"0.05";"07/09/2012 15:00";"CET";"1836";"91.80"
"BARR AG PLC";"GB00B6XZKY75";"BAGl";"NYSE Arca Europe";"GBP";"-";"-";"-";"-";"-";"-";"-";"-"
"BARRATT DEVELOPMTS";"GB0000811801";"BDEVl";"NYSE Arca Europe";"GBP";"168.40";"168.40";"168.40";"168.40";"07/09/2012 12:57";"CET";"637";"107270.80"
"BARRY CALLEBAUT N";"CH0009002962";"BARNz";"NYSE Arca Europe";"CHF";"875.50";"875.50";"875.50";"875.50";"20/08/2012 11:49";"CET";"46";"70040.00"
"BASF SE";"DE000BASF111";"BASd";"NYSE Arca Europe";"EUR";"61.75";"63.78";"61.75";"63.78";"06/09/2012 16:56";"CET";"350";"66830.12"
"BASILEA PHARMA N";"CH0011432447";"BSLNz";"NYSE Arca Europe";"CHF";"46.80";"46.80";"46.80";"46.80";"27/04/2012 16:50";"CET";"33";"1544.40"
"BASILIX CERT";"BE0003674851";"BAS";"NYSE Euronext Brussels";"EUR";"345.00";"345.00";"345.00";"345.00";"07/09/2012 15:00";"CET";"100";"34500.00"
"BASTIDE LE CONFORT";"FR0000035370";"BLC";"NYSE Euronext Paris";"EUR";"7.12";"7.14";"7.11";"7.14";"07/09/2012 16:53";"CET";"2152";"15340.91"
"BATENBURG TECHNIEK";"NL0006292906";"BATEN";"NYSE Euronext Amsterdam";"EUR";"14.05";"14.05";"14.05";"14.05";"07/09/2012 09:00";"CET";"301";"4229.05"
"BATLA MINERALS";"FR0010436170";"MLBAT";"Marché Libre Paris";"EUR";"1.48";"1.48";"1.48";"1.48";"07/09/2012 15:00";"CET";"200";"296.00"
"BAUER";"DE0005168108";"B5Ad";"NYSE Arca Europe";"EUR";"20.06";"20.06";"20.02";"20.02";"14/12/2011 15:48";"CET";"40";"-"
"BAWAG CAP  7,125PL";"DE0008600966";"BACFP";"NYSE Euronext Amsterdam";"EUR";"17.45";"17.45";"17.45";"17.45";"07/09/2012 11:30";"CET";"1712";"29874.40"
"BAXTER INTL";"US0718131099";"BAXn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"BAYER";"DE000BAY0017";"BAYNd";"NYSE Arca Europe";"EUR";"65.48";"65.48";"65.42";"65.42";"07/09/2012 09:28";"CET";"33";"2683.18"
"BAYWA";"DE0005194062";"BYW6d";"NYSE Arca Europe";"EUR";"29.10";"29.10";"29.10";"29.10";"13/12/2011 16:27";"CET";"11";"-"
"BBA AVIATION";"GB00B1FP8915";"BBAl";"NYSE Arca Europe";"GBP";"185.40";"185.40";"185.40";"185.40";"01/08/2012 12:51";"CET";"154";"28551.60"
"BBVA";"ES0113211835";"BBVAe";"NYSE Arca Europe";"EUR";"6.48";"6.52";"6.467";"6.47";"07/09/2012 17:16";"CET";"68859";"1537709.277"
"BCA POP ETRURIA";"IT0000060878";"PELm";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"BCI NAVIGATION";"FR0000076192";"BNA";"NYSE Euronext Paris";"EUR";"1.05";"1.05";"0.96";"1.00";"07/09/2012 17:35";"CET";"586018";"580735.20"
"BD MULTI MEDIA";"FR0000035305";"ALBDM";"NYSE Alternext Paris";"EUR";"7.39";"7.39";"7.39";"7.39";"07/09/2012 15:30";"CET";"887";"6554.93"
"BE SEMICONDUCTOR";"NL0000339760";"BESI";"NYSE Euronext Amsterdam";"EUR";"6.00";"6.054";"5.95";"6.035";"07/09/2012 17:35";"CET";"29824";"179296.009"
"BEAM";"US0737301038";"BEAM";"Traded not listed Amsterdam";"USD";"68.53";"68.53";"68.53";"68.53";"12/03/2008 16:30";"CET";"500";"-"
"BEAULIEU-AV. CERT";"BE0003661726";"BEAB";"NYSE Euronext Brussels";"EUR";"125.50";"125.50";"125.50";"125.50";"07/09/2012 15:00";"CET";"140";"17570.00"
"BEAZLEY GROUP";"JE00B64G9089";"BEZl";"NYSE Arca Europe";"GBP";"153.60";"154.40";"153.60";"154.40";"26/07/2012 11:09";"CET";"1800";"277450.00"
"BEFIMMO-SICAFI";"BE0003678894";"BEFB";"NYSE Euronext Brussels";"EUR";"46.545";"47.45";"46.545";"47.45";"07/09/2012 17:35";"CET";"11408";"536999.725"
"BEIERSDORF";"DE0005200000";"BEId";"NYSE Arca Europe";"EUR";"57.36";"57.36";"57.32";"57.32";"30/08/2012 16:06";"CET";"70";"6021.40"
"BEKAERT (D)";"BE0974258874";"BEKB";"NYSE Euronext Brussels";"EUR";"20.355";"21.675";"20.32";"21.58";"07/09/2012 17:35";"CET";"278341";"5915543.775"
"BEKAERT STRIP (D)";"BE0005640140";"BEKS";"NYSE Euronext Brussels";"EUR";"0.18";"0.18";"0.18";"0.18";"07/09/2012 15:00";"CET";"4540";"817.20"
"BELGACOM";"BE0003810273";"BELG";"NYSE Euronext Brussels";"EUR";"23.97";"24.165";"23.825";"23.825";"07/09/2012 17:35";"CET";"586813";"14069369.015"
"BELIER";"FR0000072399";"BELI";"NYSE Euronext Paris";"EUR";"6.74";"6.74";"6.68";"6.70";"07/09/2012 17:25";"CET";"2063";"13849.26"
"BELLWAY";"GB0000904986";"BWYl";"NYSE Arca Europe";"GBP";"807.00";"807.00";"807.00";"807.00";"02/08/2012 10:30";"CET";"188";"151716.00"
"BELRECA";"BE0020575115";"BELR";"NYSE Euronext Brussels";"EUR";"81.00";"81.00";"81.00";"81.00";"27/08/2012 16:30";"CET";"3";"243.00"
"BELUGA";"BE0003723377";"BELU";"NYSE Euronext Brussels";"EUR";"3.05";"3.05";"2.86";"2.86";"06/09/2012 16:30";"CET";"1500";"4574.81"
"BELUGA STRIP";"BE0005535068";"BELUS";"NYSE Euronext Brussels";"EUR";"0.001";"0.001";"0.001";"0.001";"29/08/2012 15:00";"CET";"9437";"9.44"
"BELVEDERE";"FR0000060873";"BVD";"NYSE Euronext Paris";"EUR";"56.00";"59.24";"54.53";"56.69";"07/09/2012 17:35";"CET";"67207";"3803784.59"
"BELVEDERE BSA 2004";"FR0010134247";"BVDBS";"NYSE Euronext Paris";"EUR";"35.00";"35.00";"35.00";"35.00";"29/02/2012 12:29";"CET";"9";"315.00"
"BELVEDERE BSA 2006";"FR0010304733";"BVDBR";"NYSE Euronext Paris";"EUR";"47.00";"48.00";"47.00";"48.00";"07/09/2012 12:38";"CET";"92";"4354.00"
"BENETEAU";"FR0000035164";"BEN";"NYSE Euronext Paris";"EUR";"8.75";"8.899";"8.58";"8.86";"07/09/2012 17:35";"CET";"50118";"438610.451"
"BENFICA";"PTSLB0AM0010";"SLBEN";"NYSE Euronext Lisbon";"EUR";"0.55";"0.55";"0.54";"0.54";"07/09/2012 18:32";"BST";"883";"483.72"
"BENI STABILI";"IT0001389631";"BNS";"NYSE Euronext Paris";"EUR";"0.36";"0.38";"0.36";"0.37";"07/09/2012 15:35";"CET";"32841";"12188.91"
"BENI STABILI";"IT0001389631";"BNSm";"NYSE Arca Europe";"EUR";"0.305";"0.305";"0.305";"0.305";"30/11/2011 15:15";"CET";"4567";"-"
